-8.8746,-15.989,-8.8393,20.739,-64.138,-105.7,137.11,185.2,155.42,154.19,-537.35,580.37,-48.397,-89.092,-149.7,181.61,131.98,32.155,-27.016,140.39,-23.854,-3.2248,30.398,38.782
-59.018,33.654,62.567,92.657,-79.919,160.2,-18.858,180.81,267.3,-77.841,-303.76,412.78,-102.74,24.704,-39.901,116.46,14.581,-154.65,-16.332,158.24,-7.7166,6.0148,-6.2988,11.657
66.589,-42.722,-81.808,114.25,-75.153,18.418,202.84,217.28,152.66,195.7,-533.41,589.98,-96.985,168.58,423.27,466.39,179.36,-1.9804,-418.95,455.84,-104.08,56.935,99.351,156.23
-70.814,75.193,56.59,118.1,47.166,104.07,-95.482,149.1,-63.939,-177.78,180.03,262.15,40.534,73.615,-27.192,91.181,-44.142,-53.931,-167.42,182.24,32.224,42.603,28.712,60.955
-129.87,-47.037,156.56,209.82,83.355,40.634,254.45,271.08,-24.573,-48.851,110.29,123.32,12.398,-19.954,80.522,83.947,-148.41,32.812,-66.972,168.8,-6.5288,-16.726,-12.898,22.467
8.5576,-22.478,-12.713,27.689,-83.9,88.21,-72.207,142.39,188.07,-16.333,66.079,201.98,-151.18,263.71,-604.45,676.72,131.4,-59.028,196.99,244.37,2.9369,14.802,-7.9986,17.554
35.766,11.011,18.253,41.896,-114.31,-290.76,167.95,355.88,10.351,176.29,21.03,179.13,-20.632,46.911,24.163,56.664,139.9,68.613,-27.379,159.09,-87.45,68.541,-134.85,175.4
-38.374,2.0493,48.324,61.867,-6.9408,3.6922,17.36,19.078,-115.8,-101.96,637.79,656.29,43.344,3.6279,242.01,245.96,-17.039,-43.042,107.5,117.43,8.4461,13.871,-35.155,38.934
16.539,55.954,-24.768,63.462,-14.304,-74.859,80.237,111.21,-181.95,-178.66,-356.8,439.3,82.679,137.17,-153.26,222.14,-59.471,-23.483,11.1,67.742,-11.526,22.415,-19.896,32.265
-9.7625,34.714,-19.259,41.231,-4.0083,-145.56,-287.65,322.48,40.688,70.486,444.86,452.42,-79.419,30.347,-318.01,329.25,39.1,60.265,-62.477,96.354,-55.609,27.446,-76.197,98.365
158.78,84.603,47.614,186.23,-35.955,-158.73,-94.255,191.86,-54.42,490.94,285.03,570.55,-115.8,-123.58,17.645,172.89,88.111,-4.4772,-13.913,89.475,-3.7127,-35.709,28.275,45.901
58.85,27.811,65.144,92.884,-81.266,86.592,-11.181,120.99,93.704,-175.21,-78.688,219.33,-93.184,129.38,165,231.31,23.919,-60.729,17.861,68.342,25.46,37.552,-7.5285,46.8
28.017,105.1,-184.35,215.99,-9.5437,19.498,-41.124,46.657,-101.33,6.4583,-79.704,129.4,-7.6676,24.072,6.744,26.187,-49.011,-53.016,345.96,353.54,-38.422,10.88,105.4,112.89
91.141,-81.081,69.943,140.87,-85.3,88.589,-119.68,171.88,3.9498,-101.43,35.981,108.04,19.975,29.667,-4.9358,37.05,-85.499,-15.613,-5.9086,87.323,7.8975,62.857,65.235,92.181
9.5832,5.3338,-11.6,16.009,-53.941,106.73,-13.246,120.62,142.81,-139.34,-1494.1,1507.7,44.379,13.568,17.032,49.895,15.333,-135.59,-193.02,238.52,9.3939,-18.73,24.727,32.691
-39.135,52.718,-93.103,114.33,-60.638,-160.01,-116.94,207.51,40.786,274.06,-100.59,295.8,-61.669,-45.658,-121.54,143.96,64.304,18.131,81.013,105.31,7.6239,-1.3306,12.88,15.026
